Interaction ID,User ID,Product ID,Interaction Type,Interaction Timestamp
0,0,7002,Added to Cart,2023-04-10 02:45:26
1,0,6251,Viewed,2023-04-03 23:20:31
2,0,10,Added to Cart,2023-04-24 12:41:21
3,0,4336456,Added to Cart,2023-01-04 19:37:12
4,0,69,Purchased,2023-02-26 23:01:59
5,0,1585832,Purchased,2023-07-19 05:09:10
6,1,42051164,Purchased,2023-08-07 06:23:25
7,1,6802,Purchased,2023-05-17 04:39:02
8,1,62,Viewed,2023-05-07 03:01:45
9,1,871989,Purchased,2023-01-25 21:33:11
10,1,1,Added to Cart,2023-06-10 10:59:46
11,1,3,Purchased,2023-05-10 14:05:37
12,1,44,Added to Cart,2023-04-24 13:51:00
13,1,66834336,Added to Cart,2023-03-19 23:09:56
14,1,9886250,Viewed,2023-01-23 16:14:23
15,1,24522662,Added to Cart,2023-03-11 22:24:23
16,1,1,Viewed,2023-06-23 02:29:44
17,1,543036164,Viewed,2023-04-29 22:58:11
18,1,2317678,Added to Cart,2023-03-30 14:55:19
19,1,216668,Added to Cart,2023-03-17 16:24:13
20,1,66834336,Viewed,2023-03-13 23:00:54
21,1,35712313,Viewed,2023-03-16 03:10:13
22,1,415,Purchased,2023-06-15 14:37:18
23,1,9272,Added to Cart,2023-03-28 01:38:22
24,1,53736816,Purchased,2023-04-07 19:59:46
25,1,874769783,Viewed,2023-04-15 06:17:39
26,1,24522662,Viewed,2023-07-16 10:14:31
27,1,1577,Viewed,2023-05-29 14:56:32
28,1,2,Viewed,2023-03-19 23:45:37
29,1,4,Added to Cart,2023-04-25 00:22:03
30,1,65,Added to Cart,2023-07-23 04:38:30
31,1,9886250,Purchased,2023-03-29 20:21:12
32,2,75,Viewed,2023-04-27 13:51:24
33,2,186936,Added to Cart,2023-05-11 07:30:57
34,2,77150,Viewed,2023-04-24 14:35:30
35,2,458806286,Viewed,2023-02-20 05:19:15
36,2,12867543,Viewed,2023-02-12 09:03:54
37,2,66834336,Viewed,2023-02-17 16:15:53
38,2,417281,Added to Cart,2023-02-27 13:13:28
39,2,2,Viewed,2023-01-17 17:03:01
40,2,66834336,Added to Cart,2023-05-18 15:30:43
41,2,16,Purchased,2023-06-05 14:32:17
42,2,216668,Added to Cart,2023-02-28 02:55:25
43,3,231,Purchased,2023-05-17 02:58:54
44,3,322,Purchased,2023-06-24 00:43:20
45,3,44,Purchased,2023-04-28 08:45:34
46,3,281,Viewed,2023-06-07 00:26:56
47,3,281,Viewed,2023-05-19 02:25:11
48,3,44,Viewed,2023-01-19 07:24:22
49,3,57123448,Added to Cart,2023-02-03 20:13:38
50,4,10,Viewed,2023-06-09 04:04:10
51,4,415,Viewed,2023-02-19 13:25:45
52,4,72440,Viewed,2023-02-20 12:10:43
53,4,329472,Viewed,2023-08-16 10:49:13
54,4,111961,Purchased,2023-05-14 19:55:12
55,4,21752050,Purchased,2023-01-01 00:41:01
56,4,72440,Added to Cart,2023-07-16 13:55:51
57,4,19289886,Added to Cart,2023-06-01 14:20:33
58,4,2709352,Viewed,2023-01-01 20:00:31
59,4,4636603,Added to Cart,2023-01-22 09:19:21
60,4,417281,Added to Cart,2023-06-08 12:59:25
61,4,415,Added to Cart,2023-01-22 18:44:17
62,4,6251,Added to Cart,2023-05-05 16:15:57
63,4,21752050,Added to Cart,2023-01-20 11:49:30
64,4,970,Viewed,2023-06-03 15:18:47
65,4,19289886,Added to Cart,2023-02-20 14:19:34
66,4,72440,Purchased,2023-07-19 05:13:36
67,4,178366,Viewed,2023-03-09 19:00:09
68,4,516304687,Purchased,2023-06-04 05:17:22
69,4,8622459,Viewed,2023-03-31 21:41:40
70,4,69,Viewed,2023-04-06 13:33:47
71,4,21752050,Viewed,2023-02-04 21:45:36
72,4,19289886,Purchased,2023-05-09 12:09:34
73,4,329472,Viewed,2023-07-28 18:28:26
74,4,23030,Purchased,2023-06-05 08:02:19
75,4,8622459,Added to Cart,2023-01-14 16:44:59
76,4,415,Viewed,2023-03-12 12:41:44
77,4,9245203,Added to Cart,2023-05-06 02:31:08
78,4,23030,Purchased,2023-05-08 09:26:00
79,4,970,Purchased,2023-01-12 08:34:41
80,4,10,Purchased,2023-07-01 13:25:30
81,4,9245203,Purchased,2023-07-10 23:05:49
82,4,516304687,Added to Cart,2023-08-01 20:24:27
83,4,9985,Viewed,2023-06-29 16:22:45
84,4,9245203,Viewed,2023-07-21 23:55:38
85,4,66910118,Purchased,2023-02-11 11:07:05
86,4,10,Purchased,2023-07-14 02:59:08
87,4,417281,Viewed,2023-05-16 23:03:36
88,4,458806286,Added to Cart,2023-03-15 20:28:19
89,4,6640,Purchased,2023-04-02 22:55:23
90,4,7002,Added to Cart,2023-01-28 19:41:21
91,4,329472,Added to Cart,2023-04-01 16:32:00
92,4,707819,Viewed,2023-02-10 04:56:59
93,4,329472,Added to Cart,2023-06-30 01:21:22
94,4,806795166,Viewed,2023-06-13 16:23:17
95,4,72440,Viewed,2023-08-04 03:38:23
96,4,23030,Added to Cart,2023-07-13 18:56:17
97,4,417281,Purchased,2023-02-21 04:24:17
98,4,458806286,Added to Cart,2023-04-23 14:04:05
99,4,152,Added to Cart,2023-04-20 20:01:49
100,5,9272,Added to Cart,2023-02-18 02:33:38
101,5,7002,Added to Cart,2023-03-17 04:32:50
102,5,3,Viewed,2023-03-01 22:39:25
103,5,1577,Viewed,2023-08-15 01:54:58
104,5,281,Purchased,2023-03-23 03:28:04
105,5,874769783,Purchased,2023-07-22 07:39:16
106,5,12867543,Added to Cart,2023-08-15 10:49:41
107,5,8360050,Added to Cart,2023-02-07 05:34:33
108,6,19289886,Viewed,2023-02-17 09:31:53
109,6,6251,Purchased,2023-04-14 12:29:53
