Product ID,Product Name,Category,Price,Brand,Features,Average Rating,Number of Ratings,Availability
8399,majority Electronics,Electronics,119.57906132404774,Parrish Group,"4K resolution, Touchscreen display, Wireless charging",4.53,546,In Stock
4636603,choose Electronics,Electronics,442.82362843669677,Martin-Blackburn,"Bluetooth connectivity, 4K resolution",2.58,160,In Stock
35712313,you Electronics,Electronics,353.20490845759844,"Sanders, Garcia and Schneider","4K resolution, Wireless charging",2.83,232,In Stock
6640,none Electronics,Electronics,108.40824112598463,Higgins LLC,"Wireless charging, 4K resolution, Bluetooth connectivity, Touchscreen display",2.7,125,In Stock
417281,scientist Electronics,Electronics,292.5822190155652,Martin-Blackburn,"Wireless charging, 4K resolution, Touchscreen display",2.05,539,In Stock
10,tough Electronics,Electronics,326.52581668479434,Martin-Blackburn,"Wireless charging, 4K resolution, Touchscreen display",1.95,484,In Stock
152,believe Electronics,Electronics,241.35097752898827,Higgins LLC,"Touchscreen display, 4K resolution",3.06,346,Out of Stock
516304687,gas Electronics,Electronics,206.56426153251357,"Sanders, Garcia and Schneider",Wireless charging,2.18,221,In Stock
707819,prove Electronics,Electronics,439.9173180022675,Martin-Blackburn,"4K resolution, Touchscreen display, Bluetooth connectivity",2.99,462,In Stock
458806286,catch Electronics,Electronics,481.5265782795203,Wall Inc,Touchscreen display,1.74,324,In Stock
9197,and Clothing,Clothing,481.6449621334198,Skinner-Gregory,100% cotton,1.6,503,In Stock
2709352,manage Clothing,Clothing,293.88003277192956,Pham and Sons,Breathable fabric,4.01,374,In Stock
21752050,Democrat Clothing,Clothing,316.38426492313954,Pham and Sons,"100% cotton, Machine washable, Breathable fabric, Waterproof",2.22,581,In Stock
69,tell Clothing,Clothing,218.4889767667186,Skinner-Gregory,100% cotton,2.78,167,In Stock
329472,game Clothing,Clothing,264.08184099186235,"Phillips, Arias and Booth","Waterproof, 100% cotton",3.49,313,In Stock
23030,end Clothing,Clothing,358.65134702652773,"Shannon, Krueger and Mayo",Machine washable,3.26,421,Out of Stock
970,nature Clothing,Clothing,286.2384353074349,Holt PLC,"100% cotton, Waterproof, Breathable fabric",4.72,582,In Stock
9245203,cover Clothing,Clothing,499.73332985464793,"Phillips, Arias and Booth","Breathable fabric, 100% cotton",4.45,519,In Stock
6251,ago Clothing,Clothing,240.73072956678536,Skinner-Gregory,"Breathable fabric, Waterproof, Machine washable, 100% cotton",3.75,379,In Stock
1585832,too Clothing,Clothing,194.01912570816071,Skinner-Gregory,"100% cotton, Breathable fabric, Machine washable, Waterproof",3.38,126,Out of Stock
19289886,measure Clothing,Clothing,315.6571970277075,"Phillips, Arias and Booth","Breathable fabric, Waterproof, Machine washable, 100% cotton",2.46,356,Out of Stock
111961,education Clothing,Clothing,455.0386410882524,Skinner-Gregory,"Breathable fabric, Machine washable, Waterproof, 100% cotton",2.08,274,In Stock
8622459,enter Clothing,Clothing,122.57858643375776,Skinner-Gregory,"100% cotton, Breathable fabric, Machine washable",2.3,415,In Stock
72440,follow Clothing,Clothing,473.0593598135496,"Phillips, Arias and Booth","Waterproof, 100% cotton, Machine washable",2.94,92,In Stock
806795166,store Clothing,Clothing,116.0605250654676,Pham and Sons,Machine washable,2.54,222,In Stock
740863419,scientist Clothing,Clothing,401.6431906195015,"Phillips, Arias and Booth",Waterproof,2.01,293,In Stock
415,score Clothing,Clothing,127.67547296877088,Skinner-Gregory,"100% cotton, Machine washable",4.43,380,In Stock
77150,option Books,Books,23.155450291272878,Harrison-Ray,"Paperback, Hardcover, E-book available",3.87,199,In Stock
2,sort Books,Books,172.2615813443963,Bond-Bailey,"Hardcover, E-book available, Audiobook available, Paperback",2.82,294,In Stock
24522662,career Books,Books,414.6398500220524,Bond-Bailey,"Audiobook available, Hardcover, Paperback, E-book available",1.85,300,In Stock
57123448,ground Books,Books,250.35322978362268,Charles-Barnett,E-book available,4.19,543,In Stock
871989,maintain Books,Books,364.3137428009127,Acosta-Wilson,"Audiobook available, E-book available, Hardcover, Paperback",4.61,519,In Stock
75,certain Books,Books,419.7048180856181,Charles-Barnett,"Paperback, Hardcover, E-book available",2.38,573,In Stock
91298318,budget Books,Books,342.47924496398156,Acosta-Wilson,"E-book available, Audiobook available, Hardcover",2.32,475,In Stock
0,about Books,Books,332.52310925686743,Charles-Barnett,"Paperback, Hardcover, Audiobook available",2.48,316,In Stock
65,huge Books,Books,410.75551933518364,Acosta-Wilson,"Hardcover, Audiobook available, E-book available, Paperback",3.01,241,In Stock
62,campaign Books,Books,169.65516025710093,Acosta-Wilson,"Paperback, E-book available",4.02,450,In Stock
4976523,movement Books,Books,121.75146223220042,Garrett-Khan,Hardcover,3.02,431,In Stock
