User ID,Category,Interest Score,Avg Purchase Rating,Final Interest Score
0,Clothing,11.64,3.88,7.76
0,Electronics,,0.0,
0,Home,,0.0,
1,Beauty,9.625,3.618,6.6215
1,Books,10.53,3.51,7.02
1,Clothing,7.050000000000001,2.35,4.7
1,Electronics,,0.0,
2,Beauty,3.4799999999999995,1.16,2.32
2,Books,,0.0,
2,Electronics,,0.0,
3,Beauty,5.5,2.75,4.125
3,Books,,0.0,
3,Home,12.72,4.24,8.48
4,Beauty,,0.0,
4,Clothing,7.298636363636363,3.2550000000000003,5.276818181818181
4,Electronics,5.796666666666666,2.6239999999999997,4.210333333333333
4,Home,8.43,2.81,5.62
5,Beauty,11.31,3.77,7.54
5,Home,14.46,4.82,9.64
6,Clothing,6.641428571428571,2.71,4.675714285714285
7,Beauty,,0.0,
7,Books,6.468333333333334,3.15,4.809166666666667
7,Clothing,14.07,4.69,9.38
7,Electronics,6.24,2.08,4.16
7,Home,5.997777777777777,2.896,4.446888888888889
8,Beauty,,0.0,
8,Books,9.25,3.7,6.475
8,Clothing,6.96,2.32,4.64
8,Home,11.49,3.83,7.66
9,Beauty,5.82,2.386,4.103
9,Books,,0.0,
9,Clothing,,0.0,
9,Electronics,,0.0,
9,Home,6.07,2.7779999999999996,4.4239999999999995
10,Beauty,9.1275,3.982,6.55475
10,Books,,0.0,
10,Clothing,,0.0,
10,Electronics,5.34,1.78,3.56
10,Home,10.9825,3.77,7.37625
11,Beauty,,0.0,
11,Books,9.353333333333333,3.865,6.609166666666667
11,Clothing,7.755,2.585,5.17
11,Electronics,12.09,4.03,8.06
11,Home,7.529999999999999,2.51,5.02
12,Beauty,,0.0,
12,Clothing,,0.0,
12,Home,11.07,3.69,7.38
13,Beauty,4.4399999999999995,1.48,2.96
13,Clothing,6.966666666666666,2.96,4.963333333333333
13,Home,4.86,2.2866666666666666,3.5733333333333333
14,Beauty,,0.0,
14,Clothing,7.1175,2.3725,4.745
14,Home,5.62,2.3699999999999997,3.995
15,Beauty,7.27,3.013333333333333,5.141666666666667
15,Books,,0.0,
15,Electronics,10.41,3.47,6.94
16,Beauty,10.709999999999999,3.57,7.14
16,Clothing,,0.0,
16,Electronics,13.080000000000002,4.36,8.72
16,Home,,0.0,
17,Beauty,5.22,2.61,3.915
17,Books,7.41,2.4699999999999998,4.9399999999999995
17,Clothing,,0.0,
17,Electronics,5.2,2.08,3.64
17,Home,,0.0,
18,Beauty,,0.0,
18,Books,7.529999999999999,3.223333333333333,5.376666666666666
18,Clothing,,0.0,
18,Electronics,4.003333333333333,1.625,2.8141666666666665
18,Home,6.076666666666667,2.83,4.453333333333333
19,Beauty,,0.0,
19,Clothing,4.472727272727273,2.248,3.3603636363636364
19,Home,7.6499999999999995,2.55,5.1
20,Beauty,8.569999999999999,2.9825,5.776249999999999
20,Books,,0.0,
20,Clothing,10.873333333333333,4.67,7.7716666666666665
20,Electronics,,0.0,
20,Home,7.896666666666667,2.8866666666666667,5.3916666666666675
21,Beauty,8.586666666666666,3.82,6.203333333333333
21,Books,9.42,4.71,7.0649999999999995
21,Electronics,10.02,3.34,6.68
21,Home,8.73,2.91,5.82
22,Beauty,14.370000000000001,4.79,9.58
22,Books,3.9000000000000004,1.3,2.6
22,Clothing,4.776,2.275,3.5255
22,Electronics,,0.0,
23,Beauty,10.1325,3.3775,6.755
23,Clothing,,0.0,
23,Electronics,,0.0,
23,Home,6.598333333333334,2.7900000000000005,4.694166666666667
24,Beauty,,0.0,
24,Clothing,,0.0,
24,Electronics,,0.0,
24,Home,8.385,2.795,5.59
25,Beauty,9.8875,3.61,6.748749999999999
25,Books,3.12,1.04,2.08
25,Clothing,,0.0,
25,Home,4.2283333333333335,2.04,3.1341666666666668
26,Beauty,8.002608695652174,3.244545454545454,5.623577075098814
26,Books,,0.0,
26,Electronics,,0.0,
26,Home,6.552,2.385,4.4685
27,Beauty,,0.0,
27,Books,3.3028571428571425,1.61,2.4564285714285714
27,Clothing,7.0565,3.0157142857142856,5.0361071428571424
27,Home,,0.0,
28,Beauty,8.099444444444444,3.528571428571429,5.814007936507936
28,Books,14.07,4.69,9.38
28,Electronics,4.5,1.5,3.0
28,Home,9.690000000000001,3.23,6.460000000000001
29,Beauty,7.505,2.953333333333333,5.229166666666666
29,Books,,0.0,
29,Clothing,9.18,3.06,6.12
29,Electronics,,0.0,
29,Home,6.029999999999999,2.01,4.02
30,Beauty,8.823703703703703,3.369090909090909,6.096397306397306
30,Clothing,,0.0,
30,Home,,0.0,
31,Beauty,,0.0,
31,Books,9.0,4.1000000000000005,6.550000000000001
32,Beauty,,0.0,
32,Books,6.4,2.5666666666666664,4.483333333333333
32,Clothing,,0.0,
32,Electronics,8.459999999999999,2.82,5.64
32,Home,6.104000000000001,3.046666666666667,4.575333333333334
33,Beauty,,0.0,
33,Clothing,5.968125,3.0477777777777777,4.5079513888888885
33,Electronics,,0.0,
34,Books,7.728611111111111,3.3899999999999997,5.5593055555555555
34,Clothing,,0.0,
34,Electronics,12.51,4.17,8.34
35,Beauty,11.19,3.73,7.46
35,Clothing,5.58,1.86,3.72
36,Clothing,,0.0,
37,Beauty,6.461212121212121,3.0666666666666664,4.763939393939394
37,Home,13.77,4.59,9.18
38,Beauty,,0.0,
38,Electronics,,0.0,
39,Beauty,,0.0,
39,Clothing,6.9590476190476185,3.12,5.039523809523809
39,Electronics,11.129999999999999,3.71,7.42
39,Home,,0.0,
40,Books,10.59,3.53,7.06
40,Clothing,4.86,1.62,3.24
40,Home,,0.0,
41,Books,10.98,3.66,7.32
41,Electronics,5.649318181818182,2.8354545454545454,4.2423863636363635
41,Home,11.459999999999999,3.82,7.64
42,Beauty,11.949999999999998,3.983333333333333,7.966666666666665
42,Books,,0.0,
42,Clothing,,0.0,
42,Electronics,8.370000000000001,2.79,5.58
42,Home,11.76,3.92,7.84
43,Beauty,,0.0,
43,Electronics,5.49,1.83,3.66
43,Home,8.34,2.78,5.56
44,Books,,0.0,
44,Clothing,4.199999999999999,1.4,2.8
44,Electronics,7.883076923076922,3.2979999999999996,5.590538461538461
44,Home,,0.0,
45,Beauty,,0.0,
45,Books,,0.0,
45,Clothing,14.549999999999999,4.85,9.7
45,Electronics,5.3133333333333335,2.475,3.894166666666667
45,Home,5.533333333333334,2.56,4.046666666666667
46,Beauty,4.78125,2.385,3.583125
46,Books,,0.0,
46,Electronics,,0.0,
46,Home,5.01,1.67,3.34
47,Beauty,7.223076923076923,2.9442857142857144,5.083681318681319
47,Clothing,6.973846153846154,2.76,4.866923076923077
47,Electronics,,0.0,
47,Home,11.875,4.75,8.3125
48,Clothing,,0.0,
48,Home,8.299999999999999,2.766666666666667,5.533333333333333
49,Beauty,8.22,4.11,6.165000000000001
49,Books,8.61,2.87,5.74
49,Clothing,,0.0,
49,Electronics,,0.0,
49,Home,6.209999999999999,2.07,4.14
50,Books,6.817833333333334,3.5258333333333334,5.171833333333334
50,Home,6.029999999999999,2.01,4.02
51,Beauty,7.11,2.37,4.74
51,Books,4.67,2.2100000000000004,3.4400000000000004
51,Clothing,7.815,3.203333333333333,5.509166666666667
51,Electronics,,0.0,
51,Home,13.77,4.59,9.18
52,Beauty,9.06,3.02,6.04
52,Books,5.8975,2.465,4.18125
52,Clothing,9.158333333333333,3.3685714285714283,6.263452380952381
52,Electronics,4.4575,1.87,3.16375
52,Home,11.100000000000001,3.7,7.4
53,Beauty,6.029999999999999,2.01,4.02
53,Books,4.256600000000001,2.0736363636363637,3.1651181818181824
53,Clothing,,0.0,
53,Electronics,14.100000000000001,4.7,9.4
53,Home,,0.0,
54,Beauty,9.78,3.26,6.52
54,Books,,0.0,
54,Clothing,11.850000000000001,3.95,7.9
55,Clothing,9.945,3.315,6.63
55,Electronics,8.7,3.48,6.09
56,Beauty,,0.0,
56,Books,8.724,3.3025,6.01325
56,Clothing,7.628571428571428,3.1042857142857145,5.366428571428571
56,Electronics,7.068,2.3466666666666667,4.707333333333333
56,Home,,0.0,
57,Beauty,14.07,4.69,9.38
57,Clothing,5.5485,3.0685714285714285,4.308535714285714
57,Electronics,,0.0,
57,Home,7.5600000000000005,2.52,5.04
58,Beauty,9.69,3.23,6.46
58,Clothing,7.166111111111111,2.915714285714286,5.040912698412699
58,Home,8.469,3.4116666666666666,5.940333333333333
59,Beauty,7.313750000000001,2.7028571428571433,5.008303571428572
59,Books,,0.0,
60,Beauty,5.418571428571428,2.8366666666666673,4.1276190476190475
60,Books,,0.0,
60,Clothing,6.720000000000001,2.24,4.48
60,Electronics,11.49,3.83,7.66
60,Home,8.728,3.4979999999999998,6.1129999999999995
61,Beauty,,0.0,
61,Books,5.307358490566038,2.601818181818182,3.95458833619211
61,Clothing,,0.0,
61,Electronics,,0.0,
61,Home,,0.0,
62,Beauty,,0.0,
62,Books,6.306,2.9266666666666663,4.616333333333333
62,Clothing,8.278333333333334,3.926666666666667,6.102500000000001
62,Home,6.029999999999999,2.91,4.47
63,Beauty,8.003333333333334,2.94,5.471666666666667
63,Books,7.965,2.655,5.31
63,Clothing,7.290000000000001,2.43,4.86
63,Electronics,7.398888888888889,3.7433333333333336,5.571111111111112
63,Home,5.37,1.79,3.58
64,Electronics,7.684285714285715,3.1825,5.433392857142858
65,Beauty,9.48,3.16,6.32
65,Clothing,,0.0,
65,Electronics,,0.0,
65,Home,12.030000000000001,4.01,8.02
66,Beauty,12.06,4.0200000000000005,8.040000000000001
66,Books,,0.0,
66,Clothing,10.11,3.37,6.74
66,Electronics,9.18,3.06,6.12
66,Home,5.591111111111111,2.715,4.1530555555555555
67,Beauty,5.928461538461539,2.41,4.1692307692307695
67,Books,8.534,3.936666666666666,6.235333333333333
67,Clothing,13.89,4.63,9.26
67,Electronics,10.815,3.605,7.21
67,Home,9.33,3.11,6.22
68,Beauty,6.809999999999999,2.27,4.539999999999999
68,Books,6.204199999999999,2.868,4.536099999999999
68,Clothing,,0.0,
68,Home,8.91,2.97,5.94
69,Beauty,6.698666666666667,2.8425000000000002,4.770583333333334
69,Clothing,5.676,3.12,4.398
70,Beauty,,0.0,
70,Clothing,,0.0,
70,Electronics,8.462608695652174,3.3025,5.882554347826087
70,Home,,0.0,
71,Beauty,7.6049999999999995,2.535,5.07
71,Books,,0.0,
71,Clothing,6.705,2.235,4.47
71,Home,,0.0,
72,Beauty,9.36,3.12,6.24
72,Books,5.16,1.72,3.44
72,Clothing,7.838888888888889,2.9216666666666664,5.380277777777778
72,Electronics,6.6000000000000005,2.2,4.4
72,Home,7.8,2.6,5.2
73,Clothing,7.8525,2.9166666666666665,5.3845833333333335
73,Home,6.720000000000001,2.24,4.48
74,Books,,0.0,
74,Clothing,11.91,3.97,7.94
74,Electronics,,0.0,
74,Home,6.1461538461538465,3.0533333333333332,4.59974358974359
75,Beauty,4.32,1.44,2.88
75,Books,,0.0,
75,Clothing,,0.0,
75,Home,,0.0,
76,Beauty,12.228333333333333,4.354,8.291166666666667
76,Books,,0.0,
76,Clothing,9.825,3.275,6.55
76,Electronics,3.4499999999999997,1.15,2.3
76,Home,,0.0,
77,Beauty,10.155000000000001,3.385,6.7700000000000005
77,Books,5.7299999999999995,1.91,3.82
78,Beauty,7.43875,2.733333333333333,5.086041666666667
78,Clothing,,0.0,
78,Electronics,5.746666666666667,2.68,4.213333333333334
78,Home,5.46,1.82,3.64
79,Beauty,9.87,3.2900000000000005,6.58
79,Books,5.43,1.81,3.62
79,Clothing,7.714285714285714,2.96,5.337142857142857
79,Electronics,6.7299999999999995,2.616,4.673
79,Home,13.559999999999999,4.52,9.04
80,Beauty,6.864166666666667,2.3557142857142854,4.609940476190476
80,Home,,0.0,
81,Beauty,9.120000000000001,3.04,6.08
81,Books,7.938,2.7566666666666664,5.347333333333333
81,Clothing,5.733333333333333,3.44,4.586666666666667
81,Electronics,6.134,2.8433333333333337,4.488666666666667
81,Home,,0.0,
82,Beauty,4.53,1.51,3.02
82,Books,5.356923076923077,2.8444444444444446,4.1006837606837605
83,Clothing,3.18,1.59,2.3850000000000002
83,Electronics,6.175000000000001,2.47,4.322500000000001
83,Home,6.75,2.25,4.5
84,Beauty,7.414,3.2099999999999995,5.311999999999999
84,Books,13.41,4.47,8.94
84,Clothing,3.69,1.23,2.46
84,Electronics,,0.0,
84,Home,14.91,4.97,9.94
85,Beauty,,0.0,
85,Electronics,6.483499999999999,2.7463636363636366,4.614931818181818
86,Beauty,,0.0,
86,Books,,0.0,
86,Clothing,6.366363636363636,3.09,4.7281818181818185
86,Electronics,6.380000000000001,3.03,4.705
86,Home,,0.0,
87,Clothing,,0.0,
87,Electronics,7.7225,3.1166666666666667,5.419583333333334
88,Beauty,6.14,2.0466666666666664,4.093333333333333
88,Books,5.8909375,2.933333333333333,4.412135416666667
88,Clothing,7.08,2.36,4.72
88,Electronics,14.399999999999999,4.8,9.6
89,Clothing,,0.0,
89,Electronics,5.459180327868852,3.0181818181818185,4.238681073025335
89,Home,,0.0,
90,Beauty,7.858666666666667,3.22125,5.539958333333334
90,Books,,0.0,
90,Clothing,14.34,4.78,9.56
90,Electronics,9.437777777777777,3.136,6.286888888888889
90,Home,,0.0,
91,Beauty,,0.0,
91,Books,,0.0,
91,Home,3.2840000000000003,1.38,2.332
92,Beauty,4.78,2.39,3.585
92,Books,9.120000000000001,3.04,6.08
92,Clothing,7.266923076923077,2.6420000000000003,4.954461538461539
92,Electronics,5.65,2.825,4.237500000000001
92,Home,,0.0,
93,Beauty,4.62,1.54,3.08
93,Books,6.754444444444444,2.824,4.789222222222222
93,Clothing,7.712000000000001,3.4966666666666666,5.604333333333334
94,Beauty,7.62,2.54,5.08
94,Books,8.100000000000001,2.7,5.4
94,Clothing,,0.0,
94,Electronics,,0.0,
94,Home,,0.0,
95,Beauty,4.192857142857143,1.9175,3.0551785714285717
95,Electronics,,0.0,
95,Home,7.379999999999999,2.46,4.92
96,Beauty,10.312000000000001,3.758,7.035
96,Books,7.38,2.46,4.92
96,Clothing,,0.0,
96,Electronics,,0.0,
96,Home,13.23,4.41,8.82
97,Beauty,8.031818181818181,3.007142857142857,5.519480519480519
97,Books,,0.0,
97,Clothing,,0.0,
97,Electronics,6.425,3.2266666666666666,4.825833333333334
97,Home,8.07,2.69,5.38
98,Beauty,7.562857142857142,2.8075,5.185178571428571
98,Books,11.64,3.88,7.76
98,Clothing,,0.0,
98,Home,9.545714285714284,3.9266666666666663,6.736190476190475
99,Beauty,8.16,2.72,5.44
99,Books,,0.0,
99,Clothing,,0.0,
99,Home,,0.0,
100,Beauty,,0.0,
100,Books,6.524615384615384,3.344,4.934307692307692
100,Clothing,,0.0,
100,Electronics,,0.0,
100,Home,14.190000000000001,4.73,9.46
101,Beauty,,0.0,
101,Books,7.778333333333333,3.276666666666667,5.5275
101,Clothing,,0.0,
101,Electronics,5.945500000000001,2.8666666666666667,4.406083333333334
102,Beauty,4.5,1.5,3.0
102,Books,,0.0,
102,Clothing,8.423333333333334,3.725,6.074166666666667
102,Electronics,5.279999999999999,1.7599999999999998,3.5199999999999996
102,Home,,0.0,
103,Beauty,9.6,3.1999999999999997,6.3999999999999995
103,Books,,0.0,
103,Electronics,11.61,3.87,7.74
103,Home,,0.0,
104,Beauty,,0.0,
104,Books,6.42,2.14,4.28
104,Clothing,,0.0,
104,Electronics,5.80195652173913,2.9650000000000003,4.383478260869565
104,Home,,0.0,
105,Beauty,4.245,1.415,2.83
105,Home,7.515000000000001,2.505,5.01
106,Home,8.23,3.58,5.905
107,Clothing,,0.0,
107,Home,9.493500000000001,3.527272727272727,6.510386363636364
108,Beauty,11.595,3.865,7.73
108,Books,,0.0,
108,Clothing,4.5840000000000005,2.9699999999999998,3.777
108,Electronics,11.25,3.75,7.5
108,Home,6.209090909090909,2.223333333333333,4.216212121212121
109,Clothing,6.800526315789474,2.8316666666666666,4.816096491228071
110,Beauty,,0.0,
110,Books,,0.0,
111,Beauty,9.4,4.7,7.050000000000001
111,Books,10.653333333333334,3.763333333333333,7.208333333333334
111,Clothing,7.74,2.58,5.16
111,Electronics,14.52,4.84,9.68
111,Home,5.76,2.3466666666666662,4.053333333333333
112,Beauty,,0.0,
112,Books,4.83,1.61,3.22
112,Clothing,10.85,4.34,7.595
112,Electronics,,0.0,
112,Home,7.058333333333334,2.63,4.844166666666666
113,Clothing,4.7,2.35,3.5250000000000004
114,Beauty,12.780000000000001,4.26,8.52
114,Books,,0.0,
114,Clothing,,0.0,
114,Home,9.93,3.31,6.62
115,Beauty,,0.0,
115,Clothing,4.0200000000000005,1.34,2.68
115,Electronics,2.38,1.19,1.785
115,Home,9.78,3.26,6.52
116,Clothing,6.581999999999999,2.69,4.635999999999999
116,Electronics,7.3585714285714285,2.91,5.134285714285714
116,Home,12.419999999999998,4.14,8.28
117,Beauty,,0.0,
117,Books,12.27,3.813333333333333,8.041666666666666
117,Electronics,11.07,3.69,7.38
117,Home,,0.0,
118,Beauty,4.050000000000001,1.35,2.7
118,Books,,0.0,
118,Clothing,,0.0,
118,Home,7.551428571428572,3.145,5.348214285714286
119,Books,,0.0,
119,Clothing,6.30390243902439,2.9308333333333336,4.617367886178862
119,Electronics,12.99,4.33,8.66
119,Home,8.07,2.69,5.38
120,Beauty,8.287,3.535,5.9110000000000005
120,Clothing,5.44,2.72,4.08
120,Electronics,11.75,4.015000000000001,7.8825
120,Home,7.800000000000001,2.6,5.2
121,Beauty,,0.0,
121,Books,6.939285714285715,2.9483333333333337,4.9438095238095245
121,Clothing,,0.0,
121,Electronics,5.8786956521739135,2.448,4.163347826086957
121,Home,,0.0,
