Product ID,Product Name,Category,Price,Brand,Features,Average Rating,Number of Ratings,Availability,Image
8399,majority Electronics,Electronics,119.5790613,Parrish Group,"4K resolution, Touchscreen display, Wireless charging",4.53,546,In Stock,gummy-imac.png
4636603,choose Electronics,Electronics,442.8236284,Martin-Blackburn,"Bluetooth connectivity, 4K resolution",2.58,160,In Stock,gummy-imac.png
35712313,you Electronics,Electronics,353.2049085,"Sanders, Garcia and Schneider","4K resolution, Wireless charging",2.83,232,In Stock,gummy-imac.png
6640,none Electronics,Electronics,108.4082411,Higgins LLC,"Wireless charging, 4K resolution, Bluetooth connectivity, Touchscreen display",2.7,125,In Stock,gummy-imac.png
417281,scientist Electronics,Electronics,292.582219,Martin-Blackburn,"Wireless charging, 4K resolution, Touchscreen display",2.05,539,In Stock,gummy-vintage-camera.png
10,tough Electronics,Electronics,326.5258167,Martin-Blackburn,"Wireless charging, 4K resolution, Touchscreen display",1.95,484,In Stock,gummy-vintage-camera.png
152,believe Electronics,Electronics,241.3509775,Higgins LLC,"Touchscreen display, 4K resolution",3.06,346,Out of Stock,gummy-vintage-camera.png
516304687,gas Electronics,Electronics,206.5642615,"Sanders, Garcia and Schneider",Wireless charging,2.18,221,In Stock,gummy-vintage-camera.png
707819,prove Electronics,Electronics,439.917318,Martin-Blackburn,"4K resolution, Touchscreen display, Bluetooth connectivity",2.99,462,In Stock,gummy-calculator.png
458806286,catch Electronics,Electronics,481.5265783,Wall Inc,Touchscreen display,1.74,324,In Stock,gummy-calculator.png
9197,and Clothing,Clothing,481.6449621,Skinner-Gregory,100% cotton,1.6,503,In Stock,gummy-calculator.png
2709352,manage Clothing,Clothing,293.8800328,Pham and Sons,Breathable fabric,4.01,374,In Stock,gummy-calculator.png
21752050,Democrat Clothing,Clothing,316.3842649,Pham and Sons,"100% cotton, Machine washable, Breathable fabric, Waterproof",2.22,581,In Stock,gummy-calculator.png
69,tell Clothing,Clothing,218.4889768,Skinner-Gregory,100% cotton,2.78,167,In Stock,gummy-calculator.png
329472,game Clothing,Clothing,264.081841,"Phillips, Arias and Booth","Waterproof, 100% cotton",3.49,313,In Stock,gummy-floppy.png
23030,end Clothing,Clothing,358.651347,"Shannon, Krueger and Mayo",Machine washable,3.26,421,Out of Stock,gummy-floppy.png
970,nature Clothing,Clothing,286.2384353,Holt PLC,"100% cotton, Waterproof, Breathable fabric",4.72,582,In Stock,gummy-floppy.png
9245203,cover Clothing,Clothing,499.7333299,"Phillips, Arias and Booth","Breathable fabric, 100% cotton",4.45,519,In Stock,gummy-floppy.png
6251,ago Clothing,Clothing,240.7307296,Skinner-Gregory,"Breathable fabric, Waterproof, Machine washable, 100% cotton",3.75,379,In Stock,gummy-floppy.png
1585832,too Clothing,Clothing,194.0191257,Skinner-Gregory,"100% cotton, Breathable fabric, Machine washable, Waterproof",3.38,126,Out of Stock,gummy-school-bag.png
19289886,measure Clothing,Clothing,315.657197,"Phillips, Arias and Booth","Breathable fabric, Waterproof, Machine washable, 100% cotton",2.46,356,Out of Stock,gummy-school-bag.png
111961,education Clothing,Clothing,455.0386411,Skinner-Gregory,"Breathable fabric, Machine washable, Waterproof, 100% cotton",2.08,274,In Stock,gummy-school-bag.png
8622459,enter Clothing,Clothing,122.5785864,Skinner-Gregory,"100% cotton, Breathable fabric, Machine washable",2.3,415,In Stock,gummy-school-bag.png
72440,follow Clothing,Clothing,473.0593598,"Phillips, Arias and Booth","Waterproof, 100% cotton, Machine washable",2.94,92,In Stock,gummy-school-bag.png
806795166,store Clothing,Clothing,116.0605251,Pham and Sons,Machine washable,2.54,222,In Stock,gummy-school-bag.png
740863419,scientist Clothing,Clothing,401.6431906,"Phillips, Arias and Booth",Waterproof,2.01,293,In Stock,gummy-school-bag.png
415,score Clothing,Clothing,127.675473,Skinner-Gregory,"100% cotton, Machine washable",4.43,380,In Stock,gummy-school-bag.png
77150,option Books,Books,23.15545029,Harrison-Ray,"Paperback, Hardcover, E-book available",3.87,199,In Stock,gummy-travel-bag.png
2,sort Books,Books,172.2615813,Bond-Bailey,"Hardcover, E-book available, Audiobook available, Paperback",2.82,294,In Stock,gummy-travel-bag.png
24522662,career Books,Books,414.63985,Bond-Bailey,"Audiobook available, Hardcover, Paperback, E-book available",1.85,300,In Stock,gummy-travel-bag.png
57123448,ground Books,Books,250.3532298,Charles-Barnett,E-book available,4.19,543,In Stock,gummy-travel-bag.png
871989,maintain Books,Books,364.3137428,Acosta-Wilson,"Audiobook available, E-book available, Hardcover, Paperback",4.61,519,In Stock,gummy-travel-bag.png
75,certain Books,Books,419.7048181,Charles-Barnett,"Paperback, Hardcover, E-book available",2.38,573,In Stock,gummy-travel-bag.png
91298318,budget Books,Books,342.479245,Acosta-Wilson,"E-book available, Audiobook available, Hardcover",2.32,475,In Stock,gummy-notebook.png
0,about Books,Books,332.5231093,Charles-Barnett,"Paperback, Hardcover, Audiobook available",2.48,316,In Stock,gummy-notebook.png
65,huge Books,Books,410.7555193,Acosta-Wilson,"Hardcover, Audiobook available, E-book available, Paperback",3.01,241,In Stock,gummy-notebook.png
62,campaign Books,Books,169.6551603,Acosta-Wilson,"Paperback, E-book available",4.02,450,In Stock,gummy-notebook.png
4976523,movement Books,Books,121.7514622,Garrett-Khan,Hardcover,3.02,431,In Stock,gummy-notebook.png
12867543,business Beauty,Beauty,340.424546,Douglas-Murphy,"Hypoallergenic, Organic ingredients, Cruelty-free, Paraben-free",3.88,411,In Stock,gummy-notebook.png
